Method,p_value
LogrRe,0.7546181916312747
LogrRa,0.5125469488022495
SvmRe,0.8723026357973412
SvmRa,0.15865934561355965
RfRe,0.31272573604573395
RfRa,0.6966341154801327
CTR,0.030738829561479844
