Method,NotFollowing_Count,Following_Count,NotFollowing_Recovery,Following_Recovery,Recovery_Ratio,Recovery_Rate
CTR,114,311,11,88,8.0,0.2829581993569132
LogrRa,78,347,19,80,4.2105263157894735,0.23054755043227665
LogrRe,238,187,53,46,0.8679245283018868,0.24598930481283424
RfRa,96,329,19,80,4.2105263157894735,0.24316109422492402
RfRe,216,209,48,51,1.0625,0.24401913875598086
SvmRa,78,347,20,79,3.95,0.2276657060518732
SvmRe,187,238,38,61,1.605263157894737,0.25630252100840334
